ts_unix_ms,t_since_submit_s,inside_request_window,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774778636237,-0.134000,0,0.000651,0.000233,0.000884,5.967226,8.310519,14.277744,68.825684,0.000000,0.300000
1774778636280,-0.091000,0,0.000278,0.000233,0.000511,5.967237,8.310529,14.277766,68.825684,0.000000,0.300000
1774778636322,-0.049000,0,0.000651,0.000278,0.000930,5.967265,8.310540,14.277805,68.825684,0.000000,0.400000
1774778636364,-0.007000,0,0.000233,0.000233,0.000465,5.967275,8.310550,14.277825,68.825684,0.000000,0.400000
1774778636407,0.036000,1,0.000278,0.000278,0.000557,5.967286,8.310562,14.277848,68.825684,0.000000,0.200000
1774778636449,0.078000,1,0.000233,0.000278,0.000511,5.967296,8.310574,14.277870,68.825684,0.000000,0.100000
1774778636491,0.120000,1,0.000278,0.000233,0.000511,5.967308,8.310583,14.277891,68.825684,0.000000,0.100000
1774778636533,0.162000,1,0.000651,0.011222,0.011873,5.967335,8.311056,14.278392,68.825684,0.000000,0.100000
1774778636575,0.204000,1,0.000278,0.000233,0.000511,5.967347,8.311066,14.278413,68.825684,0.000000,0.000000
1774778636617,0.246000,1,0.000419,7.704692,7.705111,5.967366,8.655223,14.622588,68.825684,0.000000,0.100000
1774778636662,0.291000,1,3.126589,27.622655,30.749244,6.104891,9.870223,15.975114,68.825684,0.000000,0.400000
1774778636706,0.335000,1,3.221444,32.066926,35.288370,6.264162,11.455643,17.719805,68.825684,0.000000,0.400000
1774778636755,0.384000,1,3.192666,18.046237,21.238903,6.413462,12.299543,18.713005,68.825684,0.000000,0.300000
1774778636802,0.431000,1,0.004097,0.015087,0.019184,6.413639,12.300197,18.713836,68.825684,23.000000,0.300000
1774778636845,0.474000,1,1.936964,0.025146,1.962110,6.495776,12.301263,18.797039,68.825684,23.000000,0.400000
1774778636888,0.517000,1,0.009033,0.031292,0.040325,6.496160,12.302595,18.798755,68.825684,23.000000,0.300000
1774778636930,0.559000,1,0.012666,0.034784,0.047450,6.496699,12.304073,18.800772,68.825684,23.000000,0.400000
1774778636973,0.602000,1,0.008894,0.027241,0.036135,6.497078,12.305233,18.802311,68.825684,23.000000,0.400000
1774778637015,0.644000,1,0.008986,0.026961,0.035948,6.497460,12.306381,18.803841,68.825684,98.000000,0.200000
1774778637058,0.687000,1,0.003073,0.000278,0.003351,6.497590,12.306393,18.803982,68.825684,98.000000,0.200000
1774778637100,0.729000,1,0.000278,0.000372,0.000650,6.497602,12.306408,18.804010,68.825684,98.000000,0.000000
