# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    208     52     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      1 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    208     52     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    208     52     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    208     52     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    208     52     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    208     52     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    208     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      1 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     52      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      1 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    207     51     51      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    207     51     51      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    207     51     51      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    208     47     49     80      9      0      0      0      0   3201   1980      0      0      0      1      0      0      0 
    1    197     50     51     49      6      0      0      0      0   3201   1980      0      0      0      1      0      0      0 
