ts_unix_ms,t_since_submit_s,inside_request_window,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774778634064,-0.137000,0,0.000278,0.000233,0.000511,5.448645,4.428970,9.877615,68.825684,0.000000,0.100000
1774778634106,-0.095000,0,0.000278,0.000325,0.000604,5.448657,4.428984,9.877640,68.825684,0.000000,0.000000
1774778634148,-0.053000,0,0.000278,0.000233,0.000511,5.448668,4.428994,9.877662,68.825684,0.000000,0.000000
1774778634190,-0.011000,0,0.000278,0.000278,0.000557,5.448680,4.429005,9.877685,68.825684,0.000000,0.300000
1774778634232,0.031000,1,0.000651,0.000278,0.000930,5.448708,4.429017,9.877725,68.825684,0.000000,0.200000
1774778634275,0.074000,1,0.000278,0.000278,0.000557,5.448719,4.429029,9.877748,68.825684,0.000000,0.000000
1774778634317,0.116000,1,0.000698,0.000278,0.000977,5.448751,4.429041,9.877792,68.825684,0.000000,0.100000
1774778634361,0.160000,1,0.000278,0.011128,0.011407,5.448762,4.429510,9.878272,68.825684,0.000000,0.400000
1774778634404,0.203000,1,0.000278,0.000325,0.000604,5.448774,4.429524,9.878298,68.825684,0.000000,0.300000
1774778634446,0.245000,1,0.000278,8.703861,8.704140,5.448786,4.801853,10.250639,68.825684,0.000000,0.300000
1774778634488,0.287000,1,3.188010,27.545169,30.733179,5.590307,6.024629,11.614936,68.825684,0.000000,0.500000
1774778634533,0.332000,1,3.298558,27.852133,31.150691,5.742058,7.305976,13.048034,68.825684,0.000000,0.300000
1774778634579,0.378000,1,3.180186,22.571115,25.751301,5.882501,8.302757,14.185258,68.825684,0.000000,0.200000
1774778634623,0.422000,1,0.004982,0.014342,0.019324,5.882723,8.303397,14.186120,68.825684,4.000000,0.400000
1774778634668,0.467000,1,1.936358,0.026263,1.962622,5.964903,8.304511,14.269414,68.825684,4.000000,0.400000
1774778634710,0.509000,1,0.009266,0.026217,0.035482,5.965297,8.305628,14.270926,68.825684,4.000000,0.400000
1774778634753,0.552000,1,0.009219,0.026356,0.035575,5.965689,8.306748,14.272437,68.825684,4.000000,0.300000
1774778634795,0.594000,1,0.009080,0.032549,0.041629,5.966074,8.308129,14.274203,68.825684,4.000000,0.400000
1774778634838,0.637000,1,0.010663,0.034878,0.045541,5.966531,8.309623,14.276154,68.825684,98.000000,0.400000
1774778634880,0.679000,1,0.003166,0.000278,0.003445,5.966665,8.309635,14.276300,68.825684,98.000000,0.100000
1774778634923,0.722000,1,0.000651,0.000278,0.000930,5.966693,8.309647,14.276340,68.825684,98.000000,0.000000
1774778634965,0.764000,1,0.000278,0.000233,0.000511,5.966704,8.309657,14.276361,68.825684,98.000000,0.000000
1774778635007,0.806000,1,0.000278,0.000325,0.000604,5.966716,8.309670,14.276387,68.825684,98.000000,0.100000
1774778635049,0.848000,1,0.000278,0.000233,0.000511,5.966728,8.309680,14.276408,68.825684,98.000000,0.000000
1774778635092,0.891000,1,0.000278,0.000278,0.000557,5.966740,8.309692,14.276432,68.825684,98.000000,0.000000
1774778635134,0.933000,1,0.000651,0.000233,0.000884,5.966767,8.309702,14.276469,68.825684,98.000000,0.100000
1774778635176,0.975000,1,0.000278,0.000278,0.000557,5.966779,8.309714,14.276492,68.825684,98.000000,0.000000
1774778635218,1.017000,1,0.000792,0.000278,0.001070,5.966814,8.309726,14.276540,68.825684,0.000000,0.000000
1774778635262,1.061000,1,0.000278,0.000278,0.000557,5.966825,8.309738,14.276563,68.825684,0.000000,0.000000
1774778635304,1.103000,1,0.000278,0.000278,0.000557,5.966837,8.309749,14.276586,68.825684,0.000000,0.100000
1774778635347,1.146000,1,0.000278,0.000278,0.000557,5.966849,8.309761,14.276610,68.825684,0.000000,0.000000
1774778635389,1.188000,1,0.000278,0.000233,0.000511,5.966861,8.309771,14.276631,68.825684,0.000000,0.000000
1774778635431,1.230000,1,0.000698,0.000233,0.000931,5.966890,8.309781,14.276671,68.825684,0.000000,0.000000
1774778635473,1.272000,1,0.000278,0.000233,0.000511,5.966902,8.309790,14.276692,68.825684,0.000000,0.100000
1774778635515,1.314000,1,0.000278,0.000325,0.000604,5.966914,8.309804,14.276718,68.825684,0.000000,0.100000
1774778635557,1.356000,1,0.000278,0.000233,0.000511,5.966925,8.309814,14.276739,68.825684,0.000000,0.000000
1774778635599,1.398000,1,0.000278,0.000419,0.000697,5.966937,8.309832,14.276769,68.825684,0.000000,0.100000
1774778635642,1.441000,1,0.000278,0.000278,0.000557,5.966949,8.309844,14.276793,68.825684,0.000000,0.000000
1774778635685,1.484000,1,0.000278,0.000233,0.000511,5.966961,8.309854,14.276814,68.825684,0.000000,0.000000
1774778635727,1.526000,1,0.000651,0.000233,0.000884,5.966988,8.309863,14.276852,68.825684,0.000000,0.000000
1774778635769,1.568000,1,0.000278,0.000278,0.000557,5.967000,8.309875,14.276875,68.825684,0.000000,0.100000
1774778635811,1.610000,1,0.000278,0.000278,0.000557,5.967012,8.309887,14.276899,68.825684,0.000000,0.100000
1774778635853,1.652000,1,0.000278,0.005215,0.005493,5.967023,8.310107,14.277130,68.825684,0.000000,0.000000
1774778635896,1.695000,1,0.001396,0.007730,0.009126,5.967082,8.310433,14.277516,68.825684,0.000000,0.100000
1774778635938,1.737000,1,0.000605,0.000233,0.000837,5.967109,8.310443,14.277552,68.825684,0.000000,0.000000
1774778635982,1.781000,1,0.000278,0.000233,0.000511,5.967121,8.310453,14.277574,68.825684,0.000000,0.000000
1774778636024,1.823000,1,0.000698,0.000233,0.000931,5.967150,8.310463,14.277613,68.825684,0.000000,0.000000
1774778636066,1.865000,1,0.000278,0.000233,0.000511,5.967162,8.310473,14.277635,68.825684,0.000000,0.200000
