timestamp,blocks,ops_per_s,throughput_gib_s,elapsed_s,client_retcode,notes,raw_output
2025-11-20 13:13:56,336,78458.0,4.79,1.275,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.275 s  ops=78458 ops/s  throughput=4.79 GiB/s
"
2025-11-20 13:14:26,352,78413.0,4.79,1.275,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.275 s  ops=78413 ops/s  throughput=4.79 GiB/s
"
2025-11-20 13:14:56,368,78280.0,4.78,1.277,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.277 s  ops=78280 ops/s  throughput=4.78 GiB/s
"
2025-11-20 13:15:26,384,78245.0,4.78,1.278,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.278 s  ops=78245 ops/s  throughput=4.78 GiB/s
"
2025-11-20 13:15:56,400,78136.0,4.77,1.28,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.280 s  ops=78136 ops/s  throughput=4.77 GiB/s
"
2025-11-20 13:16:25,416,78125.0,4.77,1.28,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.280 s  ops=78125 ops/s  throughput=4.77 GiB/s
"
2025-11-20 13:16:55,432,78237.0,4.78,1.278,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.278 s  ops=78237 ops/s  throughput=4.78 GiB/s
"
2025-11-20 13:17:25,448,78256.0,4.78,1.278,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.278 s  ops=78256 ops/s  throughput=4.78 GiB/s
"
2025-11-20 13:17:55,464,78125.0,4.77,1.28,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.280 s  ops=78125 ops/s  throughput=4.77 GiB/s
"
2025-11-20 13:18:24,480,78067.0,4.76,1.281,0,,"[client] op=READ msg=65536 qd=64 span=1073741824 align=256 mtu=1024
[client] done: iters=100000 msg=65536 qd=64 span=1073741824 pattern=random
[client] elapsed=1.281 s  ops=78067 ops/s  throughput=4.76 GiB/s
"
