prompt_tokens,samples,mean_ms,std_ms,prefill_tps
2048,12,833.75,224.6440113116346,2456.3718140929536
4096,12,1686.5,377.5958638063139,2428.6984879928846
8192,12,3779.75,778.8873328490631,2167.3391097294793
16384,12,8964.916666666666,1851.6867228818621,1827.568577510481
24576,12,16253.583333333334,2379.679369477147,1512.0358074886049
28672,12,21455.5,1419.0122364774475,1336.3473235300971
